date,var,type,number
2016/10/2,产品,产品类型01,35130
2016/10/3,产品,产品类型01,32849
2016/10/4,产品,产品类型01,31577
2016/10/5,产品,产品类型01,34050
2016/10/6,产品,产品类型01,39128
2016/10/7,产品,产品类型01,40357
2016/10/8,产品,产品类型01,51346
2016/10/9,产品,产品类型01,55840
2016/10/10,产品,产品类型01,65587
2016/10/11,产品,产品类型01,67493
2016/10/12,产品,产品类型01,69806
2016/10/13,产品,产品类型01,71643
2016/10/14,产品,产品类型01,73300
2016/10/15,产品,产品类型01,60193
2016/10/16,产品,产品类型01,52721
2016/10/17,产品,产品类型01,68631
2016/10/18,产品,产品类型01,70684
2016/10/19,产品,产品类型01,72738
2016/10/20,产品,产品类型01,74288
2016/10/21,产品,产品类型01,75606
2016/10/22,产品,产品类型01,59104
2016/10/23,产品,产品类型01,53486
2016/10/24,产品,产品类型01,65347
2016/10/25,产品,产品类型01,68448
2016/10/26,产品,产品类型01,68729
2016/10/27,产品,产品类型01,73526
2016/10/28,产品,产品类型01,90441
2016/10/29,产品,产品类型01,55879
2016/10/30,产品,产品类型01,50231
2016/10/31,产品,产品类型01,77712
2016/11/1,产品,产品类型01,66116
2016/11/2,产品,产品类型01,66622
2016/11/3,产品,产品类型01,68843
2016/11/4,产品,产品类型01,74635
2016/11/5,产品,产品类型01,59968
2016/11/6,产品,产品类型01,56216
2016/11/7,产品,产品类型01,67403
2016/11/8,产品,产品类型01,63680
2016/11/9,产品,产品类型01,74116
2016/11/10,产品,产品类型01,76573
2016/11/11,产品,产品类型01,78729
2016/11/12,产品,产品类型01,65140
2016/11/13,产品,产品类型01,57465
2016/11/14,产品,产品类型01,74476
2016/11/15,产品,产品类型01,79388
2016/11/16,产品,产品类型01,78461
2016/11/17,产品,产品类型01,79243
2016/11/18,产品,产品类型01,84387
2016/11/19,产品,产品类型01,68440
2016/11/20,产品,产品类型01,62822
2016/11/21,产品,产品类型01,80455
2016/11/22,产品,产品类型01,84204
2016/11/23,产品,产品类型01,85503
2016/11/24,产品,产品类型01,85641
2016/11/25,产品,产品类型01,87207
2016/11/26,产品,产品类型01,68071
2016/11/27,产品,产品类型01,64018
2016/11/28,产品,产品类型01,80502
2016/11/29,产品,产品类型01,84525
2016/11/30,产品,产品类型01,109011
2016/10/2,产品,产品类型02,3099
2016/10/3,产品,产品类型02,2654
2016/10/4,产品,产品类型02,2437
2016/10/5,产品,产品类型02,2751
2016/10/6,产品,产品类型02,3055
2016/10/7,产品,产品类型02,3569
2016/10/8,产品,产品类型02,3228
2016/10/9,产品,产品类型02,2960
2016/10/10,产品,产品类型02,2843
2016/10/11,产品,产品类型02,2698
2016/10/12,产品,产品类型02,2793
2016/10/13,产品,产品类型02,2935
2016/10/14,产品,产品类型02,2779
2016/10/15,产品,产品类型02,2637
2016/10/16,产品,产品类型02,2831
2016/10/17,产品,产品类型02,2653
2016/10/18,产品,产品类型02,2513
2016/10/19,产品,产品类型02,2719
2016/10/20,产品,产品类型02,2680
2016/10/21,产品,产品类型02,2774
2016/10/22,产品,产品类型02,2459
2016/10/23,产品,产品类型02,2666
2016/10/24,产品,产品类型02,2628
2016/10/25,产品,产品类型02,2458
2016/10/26,产品,产品类型02,2610
2016/10/27,产品,产品类型02,2665
2016/10/28,产品,产品类型02,3726
2016/10/29,产品,产品类型02,2342
2016/10/30,产品,产品类型02,2300
2016/10/31,产品,产品类型02,2766
2016/11/1,产品,产品类型02,2121
2016/11/2,产品,产品类型02,2180
2016/11/3,产品,产品类型02,2279
2016/11/4,产品,产品类型02,2138
2016/11/5,产品,产品类型02,1776
2016/11/6,产品,产品类型02,2296
2016/11/7,产品,产品类型02,2292
2016/11/8,产品,产品类型02,1978
2016/11/9,产品,产品类型02,2271
2016/11/10,产品,产品类型02,2242
2016/11/11,产品,产品类型02,2485
2016/11/12,产品,产品类型02,2110
2016/11/13,产品,产品类型02,2213
2016/11/14,产品,产品类型02,2194
2016/11/15,产品,产品类型02,2187
2016/11/16,产品,产品类型02,2540
2016/11/17,产品,产品类型02,2580
2016/11/18,产品,产品类型02,2319
2016/11/19,产品,产品类型02,2215
2016/11/20,产品,产品类型02,2417
2016/11/21,产品,产品类型02,2177
2016/11/22,产品,产品类型02,2051
2016/11/23,产品,产品类型02,2092
2016/11/24,产品,产品类型02,2228
2016/11/25,产品,产品类型02,2233
2016/11/26,产品,产品类型02,1919
2016/11/27,产品,产品类型02,2038
2016/11/28,产品,产品类型02,1985
2016/11/29,产品,产品类型02,1865
2016/11/30,产品,产品类型02,2582
2016/10/2,产品,产品类型03,142
2016/10/3,产品,产品类型03,135
2016/10/4,产品,产品类型03,137
2016/10/5,产品,产品类型03,133
2016/10/6,产品,产品类型03,134
2016/10/7,产品,产品类型03,91
2016/10/8,产品,产品类型03,92
2016/10/9,产品,产品类型03,113
2016/10/10,产品,产品类型03,171
2016/10/11,产品,产品类型03,188
2016/10/12,产品,产品类型03,192
2016/10/13,产品,产品类型03,220
2016/10/14,产品,产品类型03,227
2016/10/15,产品,产品类型03,195
2016/10/16,产品,产品类型03,228
2016/10/17,产品,产品类型03,219
2016/10/18,产品,产品类型03,230
2016/10/19,产品,产品类型03,224
2016/10/20,产品,产品类型03,205
2016/10/21,产品,产品类型03,207
2016/10/22,产品,产品类型03,193
2016/10/23,产品,产品类型03,175
2016/10/24,产品,产品类型03,160
2016/10/25,产品,产品类型03,206
2016/10/26,产品,产品类型03,222
2016/10/27,产品,产品类型03,237
2016/10/28,产品,产品类型03,216
2016/10/29,产品,产品类型03,164
2016/10/30,产品,产品类型03,155
2016/10/31,产品,产品类型03,223
2016/11/1,产品,产品类型03,134
2016/11/2,产品,产品类型03,176
2016/11/3,产品,产品类型03,175
2016/11/4,产品,产品类型03,194
2016/11/5,产品,产品类型03,123
2016/11/6,产品,产品类型03,130
2016/11/7,产品,产品类型03,127
2016/11/8,产品,产品类型03,157
2016/11/9,产品,产品类型03,149
2016/11/10,产品,产品类型03,170
2016/11/11,产品,产品类型03,164
2016/11/12,产品,产品类型03,135
2016/11/13,产品,产品类型03,104
2016/11/14,产品,产品类型03,106
2016/11/15,产品,产品类型03,139
2016/11/16,产品,产品类型03,159
2016/11/17,产品,产品类型03,149
2016/11/18,产品,产品类型03,152
2016/11/19,产品,产品类型03,109
2016/11/20,产品,产品类型03,104
2016/11/21,产品,产品类型03,117
2016/11/22,产品,产品类型03,142
2016/11/23,产品,产品类型03,186
2016/11/24,产品,产品类型03,152
2016/11/25,产品,产品类型03,161
2016/11/26,产品,产品类型03,125
